school_name,major_name,batch,batch_year,tier
东北石油大学,电子信息工程,,,national
东北石油大学,电子科学与技术,,,national
东北石油大学,电气工程及其自动化,,,national
东北石油大学,石油工程,,,national
东北石油大学,社会工作,,,national
东北石油大学,能源与动力工程,,,national
东北石油大学,自动化,,,national
东北石油大学,计算机科学与技术,,,national
东北石油大学,资源勘查工程,,,national
东北石油大学,软件工程,,,national
东北石油大学,过程装备与控制工程,,,national
东北财经大学,人力资源管理,,,national
东北财经大学,会计学,,,national
东北财经大学,保险学,,,national
东北财经大学,信息管理与信息系统,,,national
东北财经大学,劳动与社会保障,,,national
东北财经大学,商务英语,,,national
东北财经大学,国际经济与贸易,,,national
东北财经大学,工商管理,,,national
东北财经大学,工程管理,,,national
东北财经大学,市场营销,,,national
东北财经大学,应用统计学,,,national
东北财经大学,房地产开发与管理,,,national
东北财经大学,旅游管理,,,national
东北财经大学,法学,,,national
东北财经大学,电子商务,,,national
东北财经大学,税收学,,,national
东北财经大学,管理科学,,,national
东北财经大学,经济学,,,national
东北财经大学,经济统计学,,,national
东北财经大学,财务管理,,,national
东北财经大学,财政学,,,national
东北财经大学,资产评估,,,national
东北财经大学,金融学,,,national
东北财经大学,金融工程,,,national
东华大学,产品设计,,,national
东华大学,传播学,,,national
东华大学,信息管理与信息系统,,,national
东华大学,功能材料,,,national
东华大学,复合材料与工程,,,national
东华大学,工业设计,,,national
东华大学,市场营销,,,national
东华大学,应用化学,,,national
东华大学,建筑环境与能源应用工程,,,national
东华大学,数字媒体艺术,,,national
东华大学,数学与应用数学,,,national
东华大学,无机非金属材料工程,,,national
东华大学,日语,,,national
东华大学,服装与服饰设计,,,national
东华大学,服装设计与工程,,,national
东华大学,机械工程,,,national
东华大学,环境工程,,,national
东华大学,环境设计,,,national
东华大学,生物工程,,,national
东华大学,电子商务,,,national
东华大学,纺织工程,,,national
东华大学,统计学,,,national
东华大学,自动化,,,national
东华大学,视觉传达设计,,,national
东华大学,计算机科学与技术,,,national
东华大学,软件工程,,,national
东华大学,轻化工程,,,national
东华大学,非织造材料与工程,,,national
东华大学,高分子材料与工程,,,national
东华理工大学,勘查技术与工程,,,national
东华理工大学,土地资源管理,,,national
东华理工大学,地球化学,,,national
东华理工大学,地球物理学,,,national
东华理工大学,工程管理,,,national
东华理工大学,市场营销,,,national
东华理工大学,应用化学,,,national
东华理工大学,数学与应用数学,,,national
东华理工大学,机械工程,,,national
东华理工大学,材料科学与工程,,,national
东华理工大学,核工程与核技术,,,national
东华理工大学,测绘工程,,,national
东华理工大学,环境工程,,,national
东华理工大学,统计学,,,national
东华理工大学,英语,,,national
东华理工大学,计算机科学与技术,,,national
东华理工大学,财务管理,,,national
东华理工大学,资源勘查工程,,,national
东华理工大学,软件工程,,,national
东华理工大学,通信工程,,,national
东南大学,临床医学,,,national
东南大学,临床医学（“5+3”一体化培养）,,,national
东南大学,交通工程,,,national
东南大学,交通运输,,,national
东南大学,产品设计,,,national
东南大学,人工智能,,,national
东南大学,会计学,,,national
东南大学,会计学（会计学+人工智能双学士学位项目）,,,national
东南大学,信息与计算科学,,,national
东南大学,信息工程,,,national
东南大学,信息管理与信息系统,,,national
东南大学,劳动与社会保障,,,national
东南大学,化学,,,national
东南大学,化学工程与工艺,,,national
东南大学,医学影像学,,,national
东南大学,医学影像学（医学影像学+人工智能双学士学位项目）,,,national
东南大学,医学检验技术（医学检验技术+生物医学工程双学士学位项目）,,,national
东南大学,哲学,,,national
东南大学,国际经济与贸易,,,national
东南大学,土木工程,,,national
东南大学,城乡规划（4年）,,,national
东南大学,城市地下空间工程,,,national
东南大学,工商管理,,,national
东南大学,工程力学,,,national
东南大学,工程管理,,,national
东南大学,应用物理学,,,national
东南大学,建筑学（5年）,,,national
东南大学,数学与应用数学,,,national
东南大学,日语,,,national
东南大学,日语（日语+电子科学与技术双学士学位项目）,,,national
东南大学,机器人工程,,,national
东南大学,机械工程,,,national
东南大学,材料科学与工程,,,national
东南大学,汉语言文学,,,national
东南大学,法学,,,national
东南大学,测控技术与仪器,,,national
东南大学,物流管理,,,national
东南大学,环境工程,,,national
东南大学,生物医学工程,,,national
东南大学,生物医学工程（学制七年本硕连读）,,,national
东南大学,电子科学与技术,,,national
东南大学,电气工程及其自动化,,,national
东南大学,给排水科学与工程,,,national
东南大学,统计学,,,national
东南大学,网络空间安全,,,national
东南大学,网络空间安全（网络空间安全+法学双学士学位项目）,,,national
东南大学,能源与动力工程,,,national
东南大学,能源与动力工程（能源与动力工程+经济学双学士学位项目）,,,national
东南大学,自动化,,,national
东南大学,英语,,,national
东南大学,英语（英语+信息工程双学士学位项目）,,,national
东南大学,计算机科学与技术,,,national
东南大学,软件工程,,,national
东南大学,道路桥梁与渡河工程,,,national
东南大学,金融工程,,,national
东南大学,金融工程（金融工程+统计学 双学士学位项目）,,,national
东南大学,预防医学,,,national
东南大学,风景园林（4年）,,,national
东莞城市学院,会计学,,,national
东莞理工学院,会计学,3,2021,national
东莞理工学院,国际经济与贸易,3,2021,national
东莞理工学院,工业工程,3,2021,national
东莞理工学院,工商管理,,,national
东莞理工学院,应用化学,,,national
东莞理工学院,机械设计制造及其自动化,,,national
东莞理工学院,环境工程,,,national
东莞理工学院,电子信息工程,,,national
东莞理工学院,社会工作,,,national
东莞理工学院,能源与动力工程,,,national
东莞理工学院,自动化,3,2021,national
