学科类,批次,专业,标签,判定依据,配对数_24_25,超额漂移_24_25,阈值_24_25,显著_24_25,同向率_24_25,配对数_25_26,超额漂移_25_26,阈值_25_26,显著_25_26,同向率_25_26,两段合计超额漂移,原始位次口径_24_25,原始位次口径_25_26,单元数_2024,单元数_2025,单元数_2026,供给变动_24_26,层次分化_25_26
历史学科类,专科批,动漫制作技术,平稳,两段均未超过置换阈值,11,+0.0315,0.0671,否,0.82,11,+0.0370,0.0524,否,0.73,+0.0684,+0.0084,-0.0458,13,17,19,+6,普通公办:7个/+1.7% 民办:4个/+4.9%
历史学科类,专科批,工程测量技术,平稳,两段均未超过置换阈值,5,+0.0449,0.1142,否,1.00,5,+0.0219,0.0827,否,0.60,+0.0668,+0.0218,-0.0609,5,8,7,+2,普通公办:5个/+2.2%
历史学科类,专科批,网络营销与直播电商,平稳,两段均未超过置换阈值,7,+0.0722,0.0901,否,0.86,9,-0.0059,0.0580,否,0.56,+0.0662,+0.0490,-0.0888,8,15,19,+11,普通公办:6个/-2.4% 民办:3个/+3.6%
历史学科类,专科批,民航运输服务,平稳,两段均未超过置换阈值,7,-0.0320,0.0901,否,0.57,10,-0.0336,0.0551,否,0.80,-0.0656,-0.0552,-0.1164,8,10,13,+5,普通公办:7个/-4.5% 民办:3个/-0.7%
历史学科类,专科批,现代通信技术,平稳,两段均未超过置换阈值,5,+0.0777,0.1142,否,0.60,5,-0.0124,0.0827,否,0.60,+0.0652,+0.0546,-0.0953,5,6,7,+2,普通公办:5个/-1.2%
历史学科类,专科批,供用电技术,平稳,两段均未超过置换阈值,6,-0.0563,0.1012,否,0.83,5,-0.0083,0.0827,否,0.60,-0.0646,-0.0794,-0.0911,7,6,6,-1,普通公办:5个/-0.8%
历史学科类,专科批,广告艺术设计,平稳,两段均未超过置换阈值,6,+0.0584,0.1012,否,1.00,5,+0.0061,0.0827,否,0.60,+0.0645,+0.0353,-0.0767,7,7,5,-2,普通公办:4个/-1.1% 民办:1个/+16.4%
历史学科类,专科批,建筑装饰工程技术,平稳,两段均未超过置换阈值,6,+0.0581,0.1012,否,1.00,5,+0.0059,0.0827,否,0.60,+0.0640,+0.0350,-0.0769,7,7,7,+0,普通公办:4个/+1.2% 民办:1个/+0.6%
历史学科类,专科批,环境艺术设计,平稳,两段均未超过置换阈值,5,+0.0663,0.1142,否,1.00,6,-0.0040,0.0744,否,0.67,+0.0623,+0.0432,-0.0868,5,6,6,+1,普通公办:5个/-0.6% 民办:1个/+7.1%
历史学科类,专科批,金融科技应用,平稳,两段均未超过置换阈值,5,+0.0685,0.1142,否,0.60,6,-0.0116,0.0744,否,0.50,+0.0569,+0.0454,-0.0945,6,10,9,+3,普通公办:4个/-2.7% 民办:2个/+3.2%
历史学科类,专科批,医学美容技术,平稳,两段均未超过置换阈值,8,+0.0136,0.0805,否,0.62,12,+0.0430,0.0500,否,0.58,+0.0565,-0.0096,-0.0398,10,14,16,+6,普通公办:7个/-2.1% 民办:5个/+10.3%
历史学科类,专科批,中医康复技术,平稳,两段均未超过置换阈值,6,-0.0446,0.1012,否,1.00,6,-0.0115,0.0744,否,0.67,-0.0561,-0.0677,-0.0943,8,10,9,+1,普通公办:4个/-2.3% 民办:2个/+15.7%
历史学科类,专科批,中文,平稳,两段均未超过置换阈值,5,+0.0500,0.1142,否,0.60,5,+0.0054,0.0827,否,0.60,+0.0554,+0.0269,-0.0774,5,5,7,+2,普通公办:5个/+0.5%
历史学科类,专科批,口腔医学技术,平稳,两段均未超过置换阈值,9,+0.0141,0.0756,否,0.56,9,+0.0405,0.0580,否,0.67,+0.0546,-0.0090,-0.0423,12,14,12,+0,普通公办:6个/+3.8% 民办:3个/+6.7%
历史学科类,专科批,医学影像技术,平稳,两段均未超过置换阈值,7,+0.0017,0.0901,否,0.57,8,+0.0513,0.0613,否,0.88,+0.0530,-0.0214,-0.0315,11,10,11,+0,普通公办:5个/+4.5% 民办:3个/+27.2%
历史学科类,专科批,机械设计与制造,平稳,两段均未超过置换阈值,5,+0.0199,0.1142,否,0.60,5,+0.0327,0.0827,否,0.80,+0.0527,-0.0032,-0.0501,6,6,6,+0,普通公办:5个/+3.3%
历史学科类,专科批,城市轨道交通运营管理,平稳,两段均未超过置换阈值,8,-0.0119,0.0805,否,0.75,7,+0.0639,0.0674,否,0.86,+0.0520,-0.0351,-0.0189,11,12,12,+1,普通公办:5个/+7.1% 民办:2个/+5.5%
历史学科类,专科批,虚拟现实技术应用,平稳,两段均未超过置换阈值,5,-0.0477,0.1142,否,0.60,7,-0.0021,0.0674,否,0.57,-0.0498,-0.0708,-0.0849,5,9,10,+5,普通公办:4个/+1.8% 民办:3个/-1.4%
历史学科类,专科批,社区管理与服务,平稳,两段均未超过置换阈值,9,-0.0272,0.0756,否,0.56,9,-0.0218,0.0580,否,0.56,-0.0489,-0.0503,-0.1046,9,11,14,+5,普通公办:9个/-2.2%
历史学科类,专科批,应用化工技术,平稳,两段均未超过置换阈值,6,-0.0642,0.1012,否,0.67,7,+0.0173,0.0674,否,0.57,-0.0469,-0.0873,-0.0655,7,7,8,+1,普通公办:7个/+1.7%
历史学科类,专科批,小学教育,平稳,两段均未超过置换阈值,6,-0.0245,0.1012,否,0.83,10,-0.0219,0.0551,否,0.70,-0.0464,-0.0476,-0.1048,21,19,14,-7,普通公办:10个/-2.2%
历史学科类,专科批,石油化工技术,平稳,两段均未超过置换阈值,5,-0.0141,0.1142,否,0.80,5,-0.0273,0.0827,否,0.60,-0.0414,-0.0372,-0.1101,5,5,6,+1,普通公办:5个/-2.7%
历史学科类,专科批,会展策划与管理,平稳,两段均未超过置换阈值,5,-0.0301,0.1142,否,0.80,6,-0.0071,0.0744,否,0.67,-0.0372,-0.0532,-0.0899,11,6,8,-3,普通公办:6个/-0.7%
历史学科类,专科批,智能控制技术,平稳,两段均未超过置换阈值,7,-0.0257,0.0901,否,0.71,11,-0.0094,0.0524,否,0.55,-0.0351,-0.0488,-0.0922,8,11,16,+8,普通公办:10个/-0.9% 民办:1个/+6.3%
历史学科类,专科批,大数据技术,平稳,两段均未超过置换阈值,20,-0.0333,0.0498,否,0.70,28,-0.0014,0.0331,否,0.54,-0.0347,-0.0564,-0.0842,26,35,33,+7,普通公办:21个/-1.3% 民办:7个/+11.5%
历史学科类,专科批,商务英语,平稳,两段均未超过置换阈值,7,-0.0117,0.0901,否,0.57,7,-0.0225,0.0674,否,0.71,-0.0342,-0.0348,-0.1053,9,13,9,+0,普通公办:5个/-2.3% 民办:2个/-1.4%
历史学科类,专科批,国际经济与贸易,平稳,两段均未超过置换阈值,8,-0.0179,0.0805,否,0.62,8,-0.0132,0.0613,否,0.75,-0.0311,-0.0410,-0.0960,8,11,11,+3,普通公办:7个/-1.4% 民办:1个/-0.1%
历史学科类,专科批,计算机网络技术,平稳,两段均未超过置换阈值,16,+0.0223,0.0557,否,0.62,17,+0.0061,0.0424,否,0.59,+0.0284,-0.0008,-0.0767,25,26,25,+0,普通公办:15个/+0.5% 民办:2个/+12.4%
历史学科类,专科批,智能制造装备技术,平稳,两段均未超过置换阈值,9,-0.0233,0.0756,否,0.56,10,-0.0030,0.0551,否,0.50,-0.0262,-0.0464,-0.0858,9,11,11,+2,普通公办:9个/-0.7% 民办:1个/+0.1%
历史学科类,专科批,物联网应用技术,平稳,两段均未超过置换阈值,11,-0.0227,0.0671,否,0.73,19,-0.0014,0.0402,否,0.53,-0.0241,-0.0458,-0.0842,12,23,21,+9,普通公办:13个/-2.9% 民办:6个/+2.7%
历史学科类,专科批,中药学,平稳,两段均未超过置换阈值,6,-0.0276,0.1012,否,0.83,8,+0.0046,0.0613,否,0.50,-0.0230,-0.0507,-0.0782,10,10,14,+4,普通公办:7个/+1.1% 民办:1个/-1.9%
历史学科类,专科批,药品经营与管理,平稳,两段均未超过置换阈值,5,-0.0131,0.1142,否,0.80,5,-0.0075,0.0827,否,0.80,-0.0206,-0.0363,-0.0903,7,7,8,+1,普通公办:5个/-0.7%
历史学科类,专科批,汽车技术服务与营销,平稳,两段均未超过置换阈值,7,+0.0249,0.0901,否,0.71,7,-0.0450,0.0674,否,0.86,-0.0201,+0.0018,-0.1278,10,10,7,-3,普通公办:5个/-4.9% 民办:2个/-1.4%
历史学科类,专科批,汽车制造与试验技术,平稳,两段均未超过置换阈值,11,+0.0053,0.0671,否,0.55,12,-0.0248,0.0500,否,0.75,-0.0195,-0.0179,-0.1076,11,18,15,+4,普通公办:11个/-2.8% 民办:1个/+4.3%
历史学科类,专科批,机械制造及自动化,平稳,两段均未超过置换阈值,23,+0.0001,0.0461,否,0.52,25,+0.0183,0.0354,否,0.68,+0.0184,-0.0230,-0.0645,26,30,32,+6,普通公办:23个/+1.6% 民办:2个/+7.4%
历史学科类,专科批,早期教育,平稳,两段均未超过置换阈值,5,+0.0339,0.1142,否,0.60,5,-0.0512,0.0827,否,0.60,-0.0173,+0.0108,-0.1340,9,10,13,+4,普通公办:5个/-5.1%
历史学科类,专科批,汽车检测与维修技术,平稳,两段均未超过置换阈值,9,-0.0200,0.0756,否,0.67,13,+0.0030,0.0482,否,0.69,-0.0171,-0.0432,-0.0799,12,15,18,+6,普通公办:11个/+0.3% 民办:2个/+0.7%
历史学科类,专科批,道路与桥梁工程技术,平稳,两段均未超过置换阈值,7,+0.0079,0.0901,否,0.57,8,+0.0083,0.0613,否,0.50,+0.0162,-0.0153,-0.0745,7,10,9,+2,普通公办:8个/+0.8%
历史学科类,专科批,园林技术,平稳,两段均未超过置换阈值,5,+0.0288,0.1142,否,0.60,5,-0.0130,0.0827,否,0.60,+0.0158,+0.0057,-0.0958,5,5,5,+0,普通公办:5个/-1.3%
历史学科类,专科批,药学,平稳,两段均未超过置换阈值,10,-0.0089,0.0711,否,0.60,15,+0.0246,0.0451,否,0.67,+0.0157,-0.0320,-0.0582,11,15,19,+8,普通公办:11个/+2.3% 民办:4个/+13.0%
历史学科类,专科批,信息安全技术应用,平稳,两段均未超过置换阈值,6,+0.0140,0.1012,否,0.50,11,+0.0016,0.0524,否,0.55,+0.0156,-0.0091,-0.0812,9,14,16,+7,普通公办:9个/+0.2% 民办:2个/+0.3%
历史学科类,专科批,法律事务,平稳,两段均未超过置换阈值,5,-0.0021,0.1142,否,0.60,6,-0.0127,0.0744,否,0.50,-0.0148,-0.0252,-0.0955,7,7,9,+2,普通公办:3个/+1.2% 民办:3个/-4.2%
历史学科类,专科批,数控技术,平稳,两段均未超过置换阈值,13,-0.0226,0.0613,否,0.62,14,+0.0093,0.0466,否,0.64,-0.0132,-0.0457,-0.0735,17,14,17,+0,普通公办:12个/+0.0% 民办:2个/+2.4%
历史学科类,专科批,计算机应用技术,平稳,两段均未超过置换阈值,19,+0.0101,0.0511,否,0.58,27,-0.0012,0.0339,否,0.52,+0.0089,-0.0130,-0.0840,28,35,35,+7,普通公办:19个/-0.7% 民办:8个/+6.1%
历史学科类,专科批,软件技术,平稳,两段均未超过置换阈值,19,-0.0258,0.0511,否,0.63,23,+0.0183,0.0369,否,0.57,-0.0074,-0.0489,-0.0645,23,33,28,+5,普通公办:17个/+1.1% 民办:6个/+3.8%
历史学科类,专科批,船舶工程技术,平稳,两段均未超过置换阈值,5,-0.0349,0.1142,否,0.60,5,+0.0288,0.0827,否,0.60,-0.0061,-0.0581,-0.0540,6,6,5,-1,普通公办:3个/-0.0% 民办:2个/+10.6%
历史学科类,专科批,旅游管理,平稳,两段均未超过置换阈值,31,+0.0159,0.0392,否,0.55,34,-0.0220,0.0292,否,0.53,-0.0061,-0.0072,-0.1048,35,46,43,+8,普通公办:28个/-3.4% 民办:6个/+1.8%
历史学科类,专科批,电子商务,平稳,两段均未超过置换阈值,38,+0.0070,0.0349,否,0.58,45,-0.0130,0.0251,否,0.64,-0.0060,-0.0161,-0.0958,53,59,58,+5,普通公办:37个/-4.0% 民办:8个/+4.1%
历史学科类,专科批,针灸推拿,平稳,两段均未超过置换阈值,7,+0.0012,0.0901,否,0.57,10,-0.0071,0.0551,否,0.60,-0.0059,-0.0219,-0.0899,7,11,11,+4,普通公办:6个/-0.7% 民办:4个/+5.8%
历史学科类,专科批,学前教育,平稳,两段均未超过置换阈值,13,+0.0098,0.0613,否,0.62,26,-0.0042,0.0346,否,0.50,+0.0056,-0.0133,-0.0870,45,46,41,-4,普通公办:23个/-2.3% 民办:3个/+4.4%
历史学科类,专科批,中医学,平稳,两段均未超过置换阈值,7,+0.0204,0.0901,否,0.57,7,-0.0148,0.0674,否,0.57,+0.0055,-0.0027,-0.0977,7,9,11,+4,普通公办:5个/-1.5% 民办:2个/+1.4%
历史学科类,专科批,人工智能技术应用,平稳,两段均未超过置换阈值,13,-0.0070,0.0613,否,0.54,23,+0.0016,0.0369,否,0.57,-0.0054,-0.0301,-0.0812,17,29,42,+25,普通公办:16个/-0.3% 民办:7个/+3.7%
历史学科类,专科批,电气自动化技术,平稳,两段均未超过置换阈值,30,+0.0044,0.0399,否,0.53,31,-0.0001,0.0311,否,0.52,+0.0043,-0.0188,-0.0829,34,37,39,+5,普通公办:27个/-0.2% 民办:4个/+5.0%
历史学科类,专科批,园艺技术,平稳,两段均未超过置换阈值,5,+0.0129,0.1142,否,0.60,5,-0.0090,0.0827,否,0.60,+0.0039,-0.0102,-0.0918,5,7,6,+1,普通公办:5个/-0.9%
历史学科类,专科批,电力系统自动化技术,平稳,两段均未超过置换阈值,6,-0.0386,0.1012,否,0.50,7,+0.0422,0.0674,否,0.57,+0.0036,-0.0617,-0.0406,6,10,8,+2,普通公办:7个/+4.2%
历史学科类,专科批,宠物医疗技术,平稳,两段均未超过置换阈值,11,-0.0359,0.0671,否,0.73,11,+0.0323,0.0524,否,0.73,-0.0035,-0.0590,-0.0505,13,12,19,+6,普通公办:8个/+2.2% 民办:3个/+7.8%
历史学科类,专科批,数字媒体技术,平稳,两段均未超过置换阈值,21,+0.0060,0.0485,否,0.57,34,-0.0081,0.0292,否,0.59,-0.0022,-0.0171,-0.0910,29,41,45,+16,普通公办:24个/-1.5% 民办:10个/+9.2%
历史学科类,专科批,食品智能加工技术,平稳,两段均未超过置换阈值,5,+0.0210,0.1142,否,0.80,5,-0.0232,0.0827,否,0.60,-0.0022,-0.0021,-0.1060,6,7,7,+1,普通公办:5个/-2.3%
历史学科类,专科批,机电一体化技术,平稳,两段均未超过置换阈值,19,-0.0099,0.0511,否,0.58,30,+0.0080,0.0317,否,0.57,-0.0019,-0.0330,-0.0748,25,32,53,+28,普通公办:24个/-0.2% 民办:6个/+4.3%
历史学科类,专科批,工业机器人技术,平稳,两段均未超过置换阈值,14,+0.0069,0.0593,否,0.57,14,-0.0082,0.0466,否,0.64,-0.0014,-0.0162,-0.0910,20,19,20,+0,普通公办:13个/-0.8% 民办:1个/-0.9%
历史学科类,专科批,医学检验技术,平稳,两段均未超过置换阈值,14,-0.0468,0.0593,否,0.64,13,+0.0480,0.0482,否,0.69,+0.0012,-0.0699,-0.0348,16,18,20,+4,普通公办:9个/+2.5% 民办:4个/+32.3%
历史学科类,本科批,跨境电子商务,平稳,两段均未超过置换阈值,7,-0.0693,0.0769,否,0.86,9,-0.0716,0.0856,否,0.78,-0.1409,-0.0375,-0.0487,12,10,16,+4,普通公办:4个/-5.8% 民办:5个/-12.0%
历史学科类,本科批,供应链管理,平稳,两段均未超过置换阈值,9,-0.0338,0.0663,否,0.89,10,-0.0807,0.0812,否,0.90,-0.1145,-0.0019,-0.0579,12,14,16,+4,普通公办:4个/-9.4% 民办:6个/-6.7%
历史学科类,本科批,文物与博物馆学,平稳,两段均未超过置换阈值,6,+0.0505,0.0845,否,0.83,7,+0.0552,0.0994,否,1.00,+0.1057,+0.0824,+0.0781,6,10,9,+3,985:1个/+4.1% 普通公办:5个/+9.7% 民办:1个/+5.5%
历史学科类,本科批,酒店管理,平稳,两段均未超过置换阈值,14,-0.0313,0.0522,否,0.71,11,-0.0621,0.0772,否,0.73,-0.0934,+0.0006,-0.0392,18,16,12,-6,211:1个/+11.0% 普通公办:10个/-6.8%
历史学科类,本科批,互联网金融,平稳,两段均未超过置换阈值,7,-0.0232,0.0769,否,0.57,6,-0.0664,0.1097,否,1.00,-0.0896,+0.0086,-0.0435,8,10,7,-1,普通公办:2个/-6.6% 民办:4个/-7.9%
历史学科类,本科批,电子商务,平稳,两段均未超过置换阈值,19,-0.0308,0.0446,否,0.68,16,-0.0475,0.0632,否,0.75,-0.0783,+0.0010,-0.0246,43,29,23,-20,普通公办:8个/-6.1% 民办:8个/-3.8%
历史学科类,本科批,马克思主义理论,平稳,两段均未超过置换阈值,5,+0.0468,0.0935,否,0.60,10,+0.0301,0.0812,否,0.60,+0.0770,+0.0787,+0.0530,7,11,12,+5,211:4个/+4.0% 985:1个/+22.4% 普通公办:5个/+1.8%
历史学科类,本科批,城乡规划,平稳,两段均未超过置换阈值,7,+0.0008,0.0769,否,0.57,10,-0.0736,0.0812,否,0.70,-0.0728,+0.0327,-0.0507,16,20,14,-2,985:1个/+3.4% 普通公办:8个/-9.5% 民办:1个/+4.1%
历史学科类,本科批,健康服务与管理,平稳,两段均未超过置换阈值,13,-0.0301,0.0542,否,0.69,22,-0.0420,0.0535,否,0.82,-0.0722,+0.0017,-0.0192,19,26,27,+8,普通公办:12个/-2.7% 民办:10个/-6.3%
历史学科类,本科批,阿拉伯语,平稳,两段均未超过置换阈值,5,-0.0389,0.0935,否,0.80,6,-0.0290,0.1097,否,0.67,-0.0679,-0.0070,-0.0062,5,7,6,+1,普通公办:4个/+0.9% 民办:2个/-8.1%
历史学科类,本科批,知识产权,平稳,两段均未超过置换阈值,9,+0.0289,0.0663,否,0.56,10,+0.0365,0.0812,否,0.70,+0.0654,+0.0608,+0.0593,11,12,18,+7,985:1个/+18.1% 普通公办:7个/+4.2% 民办:2个/-0.7%
历史学科类,本科批,中国少数民族语言文学,平稳,两段均未超过置换阈值,5,+0.0256,0.0935,否,0.80,5,-0.0884,0.1218,否,0.80,-0.0628,+0.0575,-0.0655,5,10,10,+5,普通公办:5个/-8.8%
历史学科类,本科批,财政学,平稳,两段均未超过置换阈值,13,+0.0441,0.0542,否,0.62,11,+0.0182,0.0772,否,0.64,+0.0623,+0.0760,+0.0410,14,13,14,+0,211:1个/+12.3% 普通公办:9个/+1.8% 民办:1个/-7.3%
历史学科类,本科批,文化产业管理,平稳,两段均未超过置换阈值,15,-0.0287,0.0504,否,0.67,12,-0.0330,0.0735,否,0.75,-0.0617,+0.0032,-0.0101,19,19,15,-4,985:1个/-1.5% 普通公办:8个/-7.6% 民办:3个/-2.7%
历史学科类,本科批,行政管理,平稳,两段均未超过置换阈值,32,+0.0318,0.0339,否,0.75,35,+0.0294,0.0426,否,0.63,+0.0612,+0.0636,+0.0523,46,48,46,+0,211:9个/+7.4% 双一流:1个/-1.2% 普通公办:22个/+2.4% 民办:3个/-5.6%
历史学科类,本科批,市场营销,平稳,两段均未超过置换阈值,42,-0.0205,0.0289,否,0.69,34,-0.0394,0.0433,否,0.79,-0.0599,+0.0113,-0.0165,65,58,43,-22,211:1个/+32.4% 985:1个/+5.7% 普通公办:24个/-3.8% 民办:8个/-5.6%
历史学科类,本科批,保险学,平稳,两段均未超过置换阈值,10,-0.0136,0.0626,否,0.60,12,-0.0458,0.0735,否,0.75,-0.0594,+0.0182,-0.0230,14,15,16,+2,211:2个/+4.8% 985:1个/-16.3% 普通公办:8个/-4.6% 民办:1个/-7.5%
历史学科类,本科批,风景园林,平稳,两段均未超过置换阈值,11,+0.0345,0.0593,否,0.64,11,+0.0225,0.0772,否,0.73,+0.0570,+0.0663,+0.0453,18,16,12,-6,211:4个/+28.7% 普通公办:6个/+2.2% 民办:1个/-9.6%
历史学科类,本科批,地理信息科学,平稳,两段均未超过置换阈值,6,+0.0232,0.0845,否,0.67,6,+0.0310,0.1097,否,0.50,+0.0543,+0.0551,+0.0539,7,7,7,+0,211:1个/+8.9% 普通公办:5个/-2.7%
历史学科类,本科批,编辑出版学,平稳,两段均未超过置换阈值,6,+0.0137,0.0845,否,0.50,7,+0.0396,0.0994,否,0.71,+0.0534,+0.0456,+0.0625,6,8,8,+2,211:1个/+4.0% 985:2个/+7.2% 普通公办:4个/+5.2%
历史学科类,本科批,资产评估,平稳,两段均未超过置换阈值,11,+0.0159,0.0593,否,0.55,6,+0.0337,0.1097,否,0.50,+0.0496,+0.0478,+0.0565,12,12,7,-5,普通公办:3个/+9.5% 民办:3个/-12.9%
历史学科类,本科批,法语,平稳,两段均未超过置换阈值,11,-0.0206,0.0593,否,0.55,13,-0.0290,0.0707,否,0.54,-0.0495,+0.0113,-0.0061,18,16,15,-3,211:3个/+2.5% 普通公办:7个/+0.2% 民办:3个/-7.4%
历史学科类,本科批,德语,平稳,两段均未超过置换阈值,16,-0.0090,0.0487,否,0.62,15,-0.0400,0.0655,否,0.67,-0.0490,+0.0229,-0.0172,18,17,16,-2,211:4个/+3.7% 985:1个/-4.0% 双一流:1个/+12.6% 普通公办:4个/-4.1% 民办:5个/-9.5%
历史学科类,本科批,艺术史论,平稳,两段均未超过置换阈值,5,+0.0016,0.0935,否,0.60,5,+0.0306,0.1218,否,0.60,+0.0322,+0.0334,+0.0535,8,6,5,-3,双一流:2个/+47.9% 普通公办:3个/-2.7%
历史学科类,本科批,传播学,平稳,两段均未超过置换阈值,24,+0.0318,0.0404,否,0.54,23,+0.0003,0.0522,否,0.52,+0.0320,+0.0636,+0.0231,31,31,26,-5,211:2个/-15.4% 985:4个/+4.1% 双一流:1个/+14.2% 普通公办:13个/+0.0% 民办:3个/-13.0%
历史学科类,本科批,档案学,平稳,两段均未超过置换阈值,5,+0.0239,0.0935,否,0.80,6,+0.0042,0.1097,否,0.50,+0.0281,+0.0558,+0.0271,6,6,8,+2,211:2个/+4.6% 普通公办:4个/-4.6%
历史学科类,本科批,广播电视编导,平稳,两段均未超过置换阈值,21,-0.0010,0.0428,否,0.52,24,-0.0192,0.0511,否,0.54,-0.0203,+0.0308,+0.0036,30,31,31,+1,211:3个/+4.0% 普通公办:18个/-1.9% 民办:3个/-5.8%
历史学科类,本科批,经济学,平稳,两段均未超过置换阈值,52,-0.0128,0.0258,否,0.60,56,+0.0325,0.0333,否,0.62,+0.0197,+0.0191,+0.0554,66,66,63,-3,211:5个/+6.9% 985:7个/+2.6% 双一流:2个/+8.9% 普通公办:36个/+4.5% 民办:6个/-4.8%
历史学科类,本科批,农林经济管理,平稳,两段均未超过置换阈值,11,+0.0079,0.0593,否,0.55,11,+0.0110,0.0772,否,0.64,+0.0189,+0.0398,+0.0339,14,12,14,+0,211:3个/+1.6% 普通公办:8个/-0.7%
历史学科类,本科批,秘书学,平稳,两段均未超过置换阈值,5,+0.0216,0.0935,否,0.60,5,-0.0337,0.1218,否,0.60,-0.0121,+0.0535,-0.0109,10,8,7,-3,普通公办:4个/-1.2% 民办:1个/-5.6%
历史学科类,本科批,金融学,平稳,两段均未超过置换阈值,82,-0.0171,0.0210,否,0.63,76,+0.0065,0.0289,否,0.51,-0.0106,+0.0148,+0.0294,105,109,96,-9,211:6个/+15.4% 985:2个/+35.1% 普通公办:47个/+2.9% 民办:21个/-8.8%
历史学科类,本科批,应用心理学,平稳,两段均未超过置换阈值,12,+0.0252,0.0563,否,0.67,17,-0.0148,0.0611,否,0.53,+0.0104,+0.0570,+0.0081,19,21,21,+2,双一流:1个/-15.6% 普通公办:10个/+2.3% 民办:6个/-1.8%
历史学科类,本科批,翻译,平稳,两段均未超过置换阈值,25,+0.0154,0.0397,否,0.60,24,-0.0051,0.0511,否,0.50,+0.0103,+0.0473,+0.0178,45,36,32,-13,211:2个/+5.0% 985:1个/+3.5% 普通公办:17个/+0.5% 民办:4个/-5.6%
历史学科类,本科批,少数民族预科班,平稳,两段均未超过置换阈值,14,-0.0123,0.0522,否,0.50,13,+0.0225,0.0707,否,0.54,+0.0102,+0.0196,+0.0453,14,14,13,-1,211:2个/-12.8% 985:1个/+26.2% 普通公办:10个/+3.3%
历史学科类,本科批,广播电视学,平稳,两段均未超过置换阈值,10,+0.0121,0.0626,否,0.50,9,-0.0200,0.0856,否,0.78,-0.0079,+0.0440,+0.0028,19,12,13,-6,985:1个/+7.8% 普通公办:6个/-1.4% 民办:2个/-8.5%
历史学科类,本科批,公共事业管理,平稳,两段均未超过置换阈值,31,-0.0278,0.0346,否,0.58,31,+0.0201,0.0453,否,0.68,-0.0077,+0.0040,+0.0430,44,39,42,-2,211:3个/+5.7% 985:3个/+3.2% 普通公办:23个/+1.5% 民办:2个/-8.3%
历史学科类,本科批,经济与金融,平稳,两段均未超过置换阈值,7,+0.0141,0.0769,否,0.71,7,-0.0067,0.0994,否,0.71,+0.0075,+0.0460,+0.0162,10,8,7,-3,211:1个/-0.2% 普通公办:5个/-0.7% 民办:1个/-7.5%
历史学科类,本科批,网络与新媒体,平稳,两段均未超过置换阈值,52,+0.0224,0.0258,否,0.65,55,-0.0285,0.0336,否,0.67,-0.0061,+0.0543,-0.0057,64,69,70,+6,211:7个/+2.4% 985:2个/+3.2% 普通公办:27个/-1.9% 民办:19个/-7.7%
历史学科类,本科批,工商管理,平稳,两段均未超过置换阈值,80,-0.0106,0.0212,否,0.56,81,+0.0162,0.0280,否,0.57,+0.0056,+0.0213,+0.0391,120,114,105,-15,211:12个/+5.3% 985:6个/+16.6% 双一流:1个/-1.2% 普通公办:47个/+1.6% 民办:15个/-6.6%
历史学科类,本科批,广告学,平稳,两段均未超过置换阈值,19,+0.0175,0.0446,否,0.68,14,-0.0231,0.0680,否,0.64,-0.0056,+0.0494,-0.0002,27,23,20,-7,211:3个/-0.8% 普通公办:7个/-3.6% 民办:4个/-5.8%
历史学科类,本科批,人力资源管理,平稳,两段均未超过置换阈值,53,+0.0239,0.0256,否,0.60,48,-0.0190,0.0359,否,0.60,+0.0049,+0.0558,+0.0038,90,72,62,-28,211:6个/+1.5% 985:3个/+8.6% 普通公办:25个/-1.3% 民办:14个/-5.7%
历史学科类,本科批,俄语,平稳,两段均未超过置换阈值,59,+0.0199,0.0245,否,0.61,50,-0.0163,0.0350,否,0.58,+0.0035,+0.0517,+0.0065,74,70,64,-10,211:7个/+1.1% 985:1个/+2.0% 双一流:1个/+7.1% 普通公办:34个/-1.6% 民办:7个/-5.0%
历史学科类,本科批,艺术管理,平稳,两段均未超过置换阈值,7,+0.0081,0.0769,否,0.57,6,-0.0054,0.1097,否,0.50,+0.0027,+0.0400,+0.0175,7,9,10,+3,双一流:1个/+6.3% 普通公办:4个/-5.1% 民办:1个/+23.6%
历史学科类,本科批,英语,平稳,两段均未超过置换阈值,158,-0.0004,0.0146,否,0.50,183,-0.0021,0.0182,否,0.51,-0.0025,+0.0314,+0.0208,257,231,233,-24,211:20个/+4.5% 985:6个/+0.7% 双一流:3个/-0.9% 普通公办:109个/+3.8% 民办:45个/-6.5%
历史学科类,本科批,社会工作,平稳,两段均未超过置换阈值,38,+0.0273,0.0305,否,0.63,42,-0.0294,0.0387,否,0.67,-0.0021,+0.0591,-0.0065,47,51,49,+2,211:5个/+4.0% 985:3个/-1.8% 普通公办:32个/-5.0% 民办:2个/-5.9%
物理学科类,专科批,通用航空器维修,平稳,两段均未超过置换阈值,5,-0.0296,0.0415,否,0.80,5,-0.0387,0.0429,否,0.80,-0.0683,-0.0555,-0.0335,5,7,5,+0,普通公办:4个/-4.2% 民办:1个/+1.2%
物理学科类,专科批,食品智能加工技术,平稳,两段均未超过置换阈值,5,+0.0286,0.0415,否,0.80,8,+0.0304,0.0324,否,0.62,+0.0590,+0.0027,+0.0356,7,8,11,+4,普通公办:8个/+3.0%
